table_id,table_name,subject_area,record_count
123,hh_landfill_info,Subpart HH - Municipal Solid Waste Landfills,16444
381,w_est_emiss_using_pop_count,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),16200
248,s_lime_product_details,Subpart S - Lime Manufacturing,14784
363,ef_w_centrif_comp_activity,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),14603
117,q_unit_details,Subpart Q - Iron and Steel Production,13998
388,rlps_ghg_supplier_facilities,Facility Information,13485
227,c_biogenic_co2_details,Subpart C - General Stationary Fuel Combustion Sources,13430
83,ef_w_ngpneumatic_dev_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),13101
308,dd_facility_info,Subpart DD - Use of Electric Transmission and Distribution Equipment,12882
319,dd_increase_nameplate,Subpart DD - Use of Electric Transmission and Distribution Equipment,12813
320,dd_sf6pfc_acquisitions,Subpart DD - Use of Electric Transmission and Distribution Equipment,12813
321,dd_sf6pfc_decreases,Subpart DD - Use of Electric Transmission and Distribution Equipment,12813
322,dd_sf6pfc_disbursement,Subpart DD - Use of Electric Transmission and Distribution Equipment,12813
325,dd_user_emissions_calc,Subpart DD - Use of Electric Transmission and Distribution Equipment,12813
326,ef_w_blowdown_stacks_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),12718
138,w_pneumatic_device_type,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),12387
189,w_atmos_tanks_calc_5,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),12306
158,hh_gas_collection_system_detls,Subpart HH - Municipal Solid Waste Landfills,12176
312,ef_w_liquids_unload_units,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),12118
372,ef_w_dehydrators_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),11305
282,ef_w_acidgasremoval_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),11304
108,w_glycol_dehy_more_thn_spe_val,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),11167
317,tt_wastestream_detls,Subpart TT - Industrial Waste Landfills,11156
390,rlps_ghg_supplier_gas,Gas Information,10739
285,ff_well_and_shaft,Subpart FF - Underground Coal Mines,10291
294,ef_w_acidgasremoval_units,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),10073
235,hh_gascoll_meth_oxi_frac,Subpart HH - Municipal Solid Waste Landfills,9532
173,s_lime_byproduct_details,Subpart S - Lime Manufacturing,9185
67,ef_w_comp_workovers_frac,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),9123
290,ff_degas_qtrly,Subpart FF - Underground Coal Mines,8855
309,tt_subpart_ghg_info,Subpart TT - Industrial Waste Landfills,8821
105,ef_w_combust_equip_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),8721
46,ef_w_combust_small_units,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),8721
394,mv_ef_i_dre_claimed_gas_info,Subpart I - Electronics Manufacture,8189
162,y_subpart_level_information,Subpart Y - Petroleum Refineries,7877
397,mv_ef_i_emissions_by_ghg,Subpart I - Electronics Manufacture,7794
300,ef_w_comp_workovers_no_frac,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),7436
354,rlps_ghg_supplier_sector,Sector Information,7359
261,ef_w_atm_stg_tanks_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),7222
58,ef_w_ngpneumatic_pmp_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),7222
71,ef_w_recip_comp_onshore,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),7222
374,ef_w_centrif_comp_onshore,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),7220
56,ef_w_ngpneumatic_pmp_units,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),7187
124,q_subpart_level_information,Subpart Q - Iron and Steel Production,6968
216,nn_subpart_level_information,Subpart NN - Suppliers of Natural Gas and Natural Gas Liquids,6960
229,nn_ngl_fractionator_methods,Subpart NN - Suppliers of Natural Gas and Natural Gas Liquids,6929
222,y_flare_information,Subpart Y - Petroleum Refineries,6836
55,ef_w_transmiss_tanks_units,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),6754
88,mm_crudeoil_ngl,Subpart MM - Suppliers of Petroleum Product Suppliers,6614
136,w_other_emissions_equip_leaks,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),6611
395,mv_ef_i_ann_fghg_semiconductor,Subpart I - Electronics Manufacture,6477
129,n_non_cems_source_info,Subpart N - Glass Production,6451
90,mm_petroleum_products,Subpart MM - Suppliers of Petroleum Product Suppliers,6425
74,ef_w_associated_ng_units,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),6390
167,h_cems_details,Subpart H - Cement Production,6260
106,dd_sf6_pfc_equipment_cat,Subpart DD - Use of Electric Transmission and Distribution Equipment,6130
128,hh_gas_collection_mnthly_detls,Subpart HH - Municipal Solid Waste Landfills,6083
143,w_reciprocating_cmprs_onshore,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),6070
191,p_subpart_level_info,Subpart P - Hydrogen Production,6064
333,w_centrifugal_cmps_onshore,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),6036
353,w_atmos_tanks_calc_1_or_2,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),6030
245,n_subpart_level_information,Subpart N - Glass Production,5892
208,g_non_cems_source_info,Subpart G - Ammonia Manufacturing,5712
339,w_centrifugal_compressors,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),5697
177,aa_subpart_level_information,Subpart AA - Pulp and Paper Manufacturing,5520
155,aa_fossil_fuel_information,Subpart AA - Pulp and Paper Manufacturing,5512
250,ef_w_transmiss_tanks_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),5423
122,h_subpart_level_information,Subpart H - Cement Production,5284
203,nn_ldc_details,Subpart NN - Suppliers of Natural Gas and Natural Gas Liquids,5267
164,y_loadingoperations_info,Subpart Y - Petroleum Refineries,4949
306,c_t2eqc2cmonthlyinputs,Subpart C - General Stationary Fuel Combustion Sources,4788
281,ff_summary_source,Subpart FF - Underground Coal Mines,4785
219,pp_mass_flow_measure_details,Subpart PP - Suppliers of Carbon Dioxide (CO2),4692
204,pp_volume_flow_measure_details,Subpart PP - Suppliers of Carbon Dioxide (CO2),4576
597,mv_ef_y_flaregascompoundy1b,Subpart Y - Petroleum Refineries,4553
72,ef_w_associated_ng_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),4436
37,ef_w_comp_workovers_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),4434
102,ef_w_eor_hydrocarbon_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),4432
315,ef_w_eor_injection_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),4432
63,ef_w_liquids_unload_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),4432
29,ef_w_well_testing_summ,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),4432
340,w_liquids_unloading_calc_two,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),4356
323,dd_subpart_level_information,Subpart DD - Use of Electric Transmission and Distribution Equipment,4231
