table_id,table_name,subject_area,record_count
175,y_cokecalciner_info,Subpart Y - Petroleum Refineries,57
179,u_calcination_frac_methods,Subpart U - Miscellaneous Uses of Carbonate,54
54,ef_w_transmiss_tanks_missing,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),49
170,p_unit_info_cems,Subpart P - Hydrogen Production,42
4,u_mass_methods,Subpart U - Miscellaneous Uses of Carbonate,40
174,x_cems_info,Subpart X - Petrochemical Production,37
240,n_cems_info,Subpart N - Glass Production,35
73,ef_w_associated_ng_missing,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),25
59,ef_w_ngpneumatic_pmp_missing,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),25
66,ef_w_comp_workovers_frc_def,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),18
40,ef_w_dehydrators_missing,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),18
53,tt_gascoll_measure_locs,Subpart TT - Industrial Waste Landfills,17
52,tt_mldestructiondevice,Subpart TT - Industrial Waste Landfills,17
103,ef_w_eor_hydrocarbon_missing,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),12
296,ef_w_associated_ng_delay,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),8
311,ef_w_atm_stg_tanks_def,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),6
200,g_cems_details,Subpart G - Ammonia Manufacturing,4
156,hh_active_aeration_sys_detls,Subpart HH - Municipal Solid Waste Landfills,4
209,g_cems_feedstock_details,Subpart G - Ammonia Manufacturing,2
345,ef_w_well_testing_missing,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),2
36,ef_w_well_testing_delay,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),1
280,aa_tier1equationinput,Subpart AA - Pulp and Paper Manufacturing,0
195,ee_cems_details,Subpart EE - Titanium Dioxide Production,0
254,ee_cems_info,Subpart EE - Titanium Dioxide Production,0
237,ee_tier4cems_qtrdtls,Subpart EE - Titanium Dioxide Production,0
396,mv_ef_i_fab_stack_sys_details,Subpart I - Electronics Manufacture,0
401,mv_ef_i_fab_stack_test_cert,Subpart I - Electronics Manufacture,0
214,k_cems_details,Subpart K - Ferroalloy Production,0
168,k_cems_info,Subpart K - Ferroalloy Production,0
97,s_no_cems_annual_avg,Subpart S - Lime Manufacturing,0
318,tt_waste_depth_details,Subpart TT - Industrial Waste Landfills,0
297,ef_w_comp_workovers_no_frc_del,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),0
298,ef_w_eor_injection_missing,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),0
169,z_cems_details,Subpart Z - Phosphoric Acid Production,0
236,z_tier4cems_qtrdtls,Subpart Z - Phosphoric Acid Production,0
