root_id,file_id,recommendation_id,case,recipient,status,recommendation_text,download_url
201008IWA,201008IWA3,2010-08-I-WA-3,Tesoro Anacortes Refinery Fatal Explosion and Fire,Environmental Protection Agency (EPA),C-AAA,"Revise the Chemical Accident Prevention Provisions under 40 CFR Part 68 to require the documented use of inherently safer systems analysis and the hierarchy of controls to the greatest extent feasible when facilities are establishing safeguards for identified process hazards. The goal shall be to reduce the risk of major accidents to the greatest extent practicable, to be interpreted as equivalent to as low as reasonably practicable (ALARP).",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Tesoro_EPA_R2_C-NLA.pdf
201008IWA,201008IWA3,2010-08-I-WA-3,Tesoro Anacortes Refinery Fatal Explosion and Fire,Environmental Protection Agency (EPA),C-AAA,"Revise the Chemical Accident Prevention Provisions under 40 CFR Part 68 to require the documented use of inherently safer systems analysis and the hierarchy of controls to the greatest extent feasible when facilities are establishing safeguards for identified process hazards. The goal shall be to reduce the risk of major accidents to the greatest extent practicable, to be interpreted as equivalent to as low as reasonably practicable (ALARP).",https://www.csb.gov/assets/recommendation/2010-8-I-WA-R04_3__Status_Change_Summary_Tesoro_EPA_R4_C-UA.pdf
201008IWA,201008IWA4,2010-08-I-WA-4,Tesoro Anacortes Refinery Fatal Explosion and Fire,Environmental Protection Agency (EPA),C-AAA,"Revise the Chemical Accident Prevention Provisions under 40 CFR Part 68 to require the documented use of inherently safer systems analysis and the hierarchy of controls to the greatest extent feasible when facilities are establishing safeguards for identified process hazards. The goal shall be to reduce the risk of major accidents to the greatest extent practicable, to be interpreted as equivalent to as low as reasonably practicable (ALARP).",https://www.csb.gov/assets/recommendation/Status_Change_Summary_EPA_(Tesoro_R1)_C-AAA.pdf
201008IWA,201008IWA4,2010-08-I-WA-4,Tesoro Anacortes Refinery Fatal Explosion and Fire,Environmental Protection Agency (EPA),C-AAA,"Revise the Chemical Accident Prevention Provisions under 40 CFR Part 68 to require the documented use of inherently safer systems analysis and the hierarchy of controls to the greatest extent feasible when facilities are establishing safeguards for identified process hazards. The goal shall be to reduce the risk of major accidents to the greatest extent practicable, to be interpreted as equivalent to as low as reasonably practicable (ALARP).",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Tesoro_EPA_R2_C-NLA.pdf
201008IWA,201008IWA4,2010-08-I-WA-4,Tesoro Anacortes Refinery Fatal Explosion and Fire,Environmental Protection Agency (EPA),C-AAA,"Revise the Chemical Accident Prevention Provisions under 40 CFR Part 68 to require the documented use of inherently safer systems analysis and the hierarchy of controls to the greatest extent feasible when facilities are establishing safeguards for identified process hazards. The goal shall be to reduce the risk of major accidents to the greatest extent practicable, to be interpreted as equivalent to as low as reasonably practicable (ALARP).",https://www.csb.gov/assets/recommendation/2010-8-I-WA-R04_3__Status_Change_Summary_Tesoro_EPA_R4_C-UA.pdf
201008IWA,201008IWA5,2010-08-I-WA-5,Tesoro Anacortes Refinery Fatal Explosion and Fire,Governor and Legislature of the State of Washington,C-AAA,"Based on the findings in this report, augment your existing process safety management regulations for petroleum refineries in the state of Washington with the following more rigorous goal-setting attributes: a. A comprehensive process hazard analysis written by the company that includes: i. Systematic analysis and documentation of all major hazards and safeguards, using the hierarchy of controls to reduce those risks to as low as reasonably practicable (ALARP); ii.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_State_of_Washington_(Tesoro_R5)_C-AAA.pdf
201008IWA,201008IWA5,2010-08-I-WA-5,Tesoro Anacortes Refinery Fatal Explosion and Fire,Governor and Legislature of the State of Washington,C-AAA,"Based on the findings in this report, augment your existing process safety management regulations for petroleum refineries in the state of Washington with the following more rigorous goal-setting attributes: a. A comprehensive process hazard analysis written by the company that includes: i. Systematic analysis and documentation of all major hazards and safeguards, using the hierarchy of controls to reduce those risks to as low as reasonably practicable (ALARP); ii.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_WA_GnL_Tesoro_R6_O-ARAR.pdf
201008IWA,201008IWA6,2010-08-I-WA-6,Tesoro Anacortes Refinery Fatal Explosion and Fire,Governor and Legislature of the State of Washington,C-AAA,"Based on the findings in this report, augment your existing process safety management regulations for petroleum refineries in the state of Washington with the following more rigorous goal-setting attributes: a. A comprehensive process hazard analysis written by the company that includes: i. Systematic analysis and documentation of all major hazards and safeguards, using the hierarchy of controls to reduce those risks to as low as reasonably practicable (ALARP); ii.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_State_of_Washington_(Tesoro_R5)_C-AAA.pdf
201008IWA,201008IWA6,2010-08-I-WA-6,Tesoro Anacortes Refinery Fatal Explosion and Fire,Governor and Legislature of the State of Washington,C-AAA,"Based on the findings in this report, augment your existing process safety management regulations for petroleum refineries in the state of Washington with the following more rigorous goal-setting attributes: a. A comprehensive process hazard analysis written by the company that includes: i. Systematic analysis and documentation of all major hazards and safeguards, using the hierarchy of controls to reduce those risks to as low as reasonably practicable (ALARP); ii.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_WA_GnL_Tesoro_R6_O-ARAR.pdf
201008IWA,201008IWA7,2010-08-I-WA-7,Tesoro Anacortes Refinery Fatal Explosion and Fire,Governor and Legislature of the State of Washington,C-AAA,"Based on the findings in this report, augment your existing process safety management regulations for petroleum refineries in the state of Washington with the following more rigorous goal-setting attributes: a. A comprehensive process hazard analysis written by the company that includes: i. Systematic analysis and documentation of all major hazards and safeguards, using the hierarchy of controls to reduce those risks to as low as reasonably practicable (ALARP); ii.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_State_of_Washington_(Tesoro_R5)_C-AAA.pdf
201008IWA,201008IWA7,2010-08-I-WA-7,Tesoro Anacortes Refinery Fatal Explosion and Fire,Governor and Legislature of the State of Washington,C-AAA,"Based on the findings in this report, augment your existing process safety management regulations for petroleum refineries in the state of Washington with the following more rigorous goal-setting attributes: a. A comprehensive process hazard analysis written by the company that includes: i. Systematic analysis and documentation of all major hazards and safeguards, using the hierarchy of controls to reduce those risks to as low as reasonably practicable (ALARP); ii.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_WA_GnL_Tesoro_R6_O-ARAR.pdf
201008IWA,201008IWA15,2010-08-I-WA-15,Tesoro Anacortes Refinery Fatal Explosion and Fire,Tesoro Anacortes Refinery,C-AAA,"Implement a process safety culture continuous improvement program at the Tesoro Anacortes Refinery including a written procedure for periodic process safety culture surveys across the work force. The process safety culture program shall be overseen by a tripartite committee of Tesoro management, USW representatives, Washington State Department of Labor and Industries – Division of Occupational Safety and Health, and the U.S. Environmental Protection Agency. This oversight committee shall: a.",https://www.csb.gov/assets/recommendation/Status_Change_Summary__Tesoro_(Tesoro_R15)_C-AAA1.pdf
201008IWA,201008IWA12,2010-08-I-WA-12,Tesoro Anacortes Refinery Fatal Explosion and Fire,Tesoro Refining & Marketing Company LLC,C-AA,Actively participate with API in the completion ofrecommendation 2010-08-I-WA-R10. Document this participation.,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Tesoro_R12_C-AA.pdf
201008IWA,201008IWA12,2010-08-I-WA-12,Tesoro Anacortes Refinery Fatal Explosion and Fire,Tesoro Refining & Marketing Company LLC,C-AA,Actively participate with API in the completion ofrecommendation 2010-08-I-WA-R10. Document this participation.,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Tesoro_R13_C-NLA.pdf
201008IWA,201008IWA12,2010-08-I-WA-12,Tesoro Anacortes Refinery Fatal Explosion and Fire,Tesoro Refining & Marketing Company LLC,C-AA,Actively participate with API in the completion ofrecommendation 2010-08-I-WA-R10. Document this participation.,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Marathon_(Tesoro_R14)_C-AA.pdf
201008IWA,201008IWA13,2010-08-I-WA-13,Tesoro Anacortes Refinery Fatal Explosion and Fire,Tesoro Refining & Marketing Company LLC,C-AA,Actively participate with API in the completion ofrecommendation 2010-08-I-WA-R10. Document this participation.,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Tesoro_R12_C-AA.pdf
